segment_name,confidence_assessment,mediapipe_mouth_openness_mean,mediapipe_mouth_openness_variance,mediapipe_eyebrow_height_mean,mediapipe_eyebrow_height_variance,mediapipe_frames_analyzed,deepface_most_frequent_emotion,deepface_emotion_distribution_%,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_neutral,deepface_sad,deepface_surprise
8Dv2Hdf5TRg_seg000,4.0,0.01028,5e-05,0.02172,1e-05,25.0,sad,"{'happy': 8.0, 'sad': 28.0, 'fear': 24.0, 'neutral': 24.0, 'angry': 12.0, 'disgust': 4.0}",12.0,4.0,24.0,8.0,24.0,28.0,0.0
8Dv2Hdf5TRg_seg001,4.0,0.00838,3e-05,0.02263,1e-05,26.0,sad,"{'sad': 42.3, 'fear': 30.8, 'neutral': 15.4, 'surprise': 7.7, 'angry': 3.8}",3.8,0.0,30.8,0.0,15.4,42.3,7.7
8Dv2Hdf5TRg_seg002,3.0,0.00642,3e-05,0.02367,0.0,26.0,fear,"{'angry': 38.5, 'fear': 50.0, 'sad': 3.8, 'surprise': 7.7}",38.5,0.0,50.0,0.0,0.0,3.8,7.7
8Dv2Hdf5TRg_seg003,3.0,0.00763,3e-05,0.02237,1e-05,26.0,fear,"{'surprise': 7.7, 'angry': 7.7, 'happy': 19.2, 'sad': 15.4, 'fear': 46.2, 'neutral': 3.8}",7.7,0.0,46.2,19.2,3.8,15.4,7.7
8Dv2Hdf5TRg_seg004,3.0,0.00807,4e-05,0.02131,1e-05,25.0,fear,"{'angry': 16.0, 'fear': 48.0, 'surprise': 8.0, 'sad': 16.0, 'happy': 12.0}",16.0,0.0,48.0,12.0,0.0,16.0,8.0
8Dv2Hdf5TRg_seg005,3.0,0.01088,6e-05,0.02942,3e-05,25.0,fear,"{'fear': 36.0, 'angry': 32.0, 'sad': 24.0, 'neutral': 4.0, 'surprise': 4.0}",32.0,0.0,36.0,0.0,4.0,24.0,4.0
8Dv2Hdf5TRg_seg006,4.0,0.00664,2e-05,0.02067,0.0,25.0,sad,"{'sad': 48.0, 'fear': 32.0, 'neutral': 8.0, 'angry': 8.0, 'happy': 4.0}",8.0,0.0,32.0,4.0,8.0,48.0,0.0
8Dv2Hdf5TRg_seg007,4.0,0.0104,6e-05,0.03349,2e-05,25.0,fear,"{'fear': 32.0, 'angry': 28.0, 'sad': 16.0, 'neutral': 8.0, 'happy': 12.0, 'surprise': 4.0}",28.0,0.0,32.0,12.0,8.0,16.0,4.0
8Dv2Hdf5TRg_seg008,4.0,0.00788,3e-05,0.02718,1e-05,25.0,fear,"{'fear': 36.0, 'happy': 20.0, 'angry': 4.0, 'sad': 24.0, 'surprise': 4.0, 'neutral': 12.0}",4.0,0.0,36.0,20.0,12.0,24.0,4.0
8Dv2Hdf5TRg_seg009,4.0,0.01107,6e-05,0.0324,2e-05,27.0,fear,"{'angry': 18.5, 'fear': 51.9, 'sad': 18.5, 'happy': 7.4, 'neutral': 3.7}",18.5,0.0,51.9,7.4,3.7,18.5,0.0
8Dv2Hdf5TRg_seg010,4.0,0.01068,5e-05,0.03024,1e-05,26.0,fear,"{'happy': 15.4, 'fear': 46.2, 'angry': 7.7, 'neutral': 7.7, 'surprise': 3.8, 'sad': 19.2}",7.7,0.0,46.2,15.4,7.7,19.2,3.8
8Dv2Hdf5TRg_seg011,3.0,0.00632,2e-05,0.02209,1e-05,25.0,fear,"{'sad': 20.0, 'fear': 40.0, 'angry': 24.0, 'surprise': 4.0, 'neutral': 12.0}",24.0,0.0,40.0,0.0,12.0,20.0,4.0
8Dv2Hdf5TRg_seg012,2.0,0.00974,4e-05,0.03119,3e-05,25.0,sad,"{'sad': 36.0, 'fear': 20.0, 'neutral': 16.0, 'surprise': 16.0, 'happy': 8.0, 'angry': 4.0}",4.0,0.0,20.0,8.0,16.0,36.0,16.0
8Dv2Hdf5TRg_seg013,3.0,0.01218,6e-05,0.03221,3e-05,26.0,fear,"{'sad': 26.9, 'fear': 53.8, 'neutral': 7.7, 'happy': 7.7, 'angry': 3.8}",3.8,0.0,53.8,7.7,7.7,26.9,0.0
8Dv2Hdf5TRg_seg014,3.0,0.00758,4e-05,0.02652,3e-05,25.0,sad,"{'fear': 28.0, 'angry': 16.0, 'happy': 20.0, 'sad': 36.0}",16.0,0.0,28.0,20.0,0.0,36.0,0.0
8Dv2Hdf5TRg_seg015,3.0,0.01048,6e-05,0.03214,4e-05,26.0,fear,"{'angry': 30.8, 'happy': 3.8, 'fear': 38.5, 'neutral': 11.5, 'sad': 7.7, 'surprise': 7.7}",30.8,0.0,38.5,3.8,11.5,7.7,7.7
8Dv2Hdf5TRg_seg016,2.0,0.00782,3e-05,0.02672,1e-05,25.0,sad,"{'happy': 4.0, 'fear': 28.0, 'sad': 44.0, 'angry': 16.0, 'neutral': 4.0, 'surprise': 4.0}",16.0,0.0,28.0,4.0,4.0,44.0,4.0
8Dv2Hdf5TRg_seg017,3.0,0.00935,5e-05,0.03161,6e-05,24.0,fear,"{'fear': 45.8, 'angry': 16.7, 'neutral': 16.7, 'happy': 8.3, 'sad': 12.5}",16.7,0.0,45.8,8.3,16.7,12.5,0.0
8Dv2Hdf5TRg_seg018,4.0,0.01289,8e-05,0.03166,1e-05,26.0,neutral,"{'neutral': 50.0, 'happy': 7.7, 'fear': 23.1, 'angry': 7.7, 'disgust': 7.7, 'surprise': 3.8}",7.7,7.7,23.1,7.7,50.0,0.0,3.8
8Dv2Hdf5TRg_seg019,3.0,0.00953,4e-05,0.02559,1e-05,25.0,neutral,"{'neutral': 32.0, 'angry': 12.0, 'sad': 16.0, 'happy': 12.0, 'fear': 24.0, 'surprise': 4.0}",12.0,0.0,24.0,12.0,32.0,16.0,4.0
8Dv2Hdf5TRg_seg020,4.0,0.01385,9e-05,0.03586,3e-05,25.0,fear,"{'neutral': 20.0, 'fear': 36.0, 'sad': 12.0, 'angry': 8.0, 'happy': 16.0, 'surprise': 8.0}",8.0,0.0,36.0,16.0,20.0,12.0,8.0
8XQ1onjXJK0_seg000,4.0,0.00936,8e-05,0.02071,6e-05,27.0,angry,"{'angry': 81.5, 'sad': 3.7, 'neutral': 7.4, 'happy': 3.7, 'fear': 3.7}",81.5,0.0,3.7,3.7,7.4,3.7,0.0
8XQ1onjXJK0_seg001,4.0,0.00759,5e-05,0.01902,4e-05,27.0,sad,"{'sad': 48.1, 'angry': 25.9, 'neutral': 11.1, 'fear': 14.8}",25.9,0.0,14.8,0.0,11.1,48.1,0.0
8XQ1onjXJK0_seg002,4.0,0.00921,3e-05,0.03017,0.0,26.0,fear,"{'fear': 34.6, 'angry': 30.8, 'neutral': 34.6}",30.8,0.0,34.6,0.0,34.6,0.0,0.0
8XQ1onjXJK0_seg003,3.0,0.00816,6e-05,0.01638,4e-05,27.0,angry,"{'angry': 44.4, 'fear': 7.4, 'surprise': 14.8, 'neutral': 25.9, 'sad': 7.4}",44.4,0.0,7.4,0.0,25.9,7.4,14.8
8XQ1onjXJK0_seg004,2.0,0.00987,8e-05,0.01986,4e-05,25.0,angry,"{'angry': 64.0, 'neutral': 8.0, 'fear': 20.0, 'happy': 4.0, 'sad': 4.0}",64.0,0.0,20.0,4.0,8.0,4.0,0.0
8XQ1onjXJK0_seg005,3.0,0.00562,3e-05,0.01086,1e-05,26.0,angry,"{'angry': 53.8, 'sad': 26.9, 'disgust': 3.8, 'fear': 7.7, 'happy': 7.7}",53.8,3.8,7.7,7.7,0.0,26.9,0.0
8XQ1onjXJK0_seg006,2.0,0.00601,1e-05,0.02551,1e-05,26.0,angry,"{'happy': 7.7, 'sad': 19.2, 'neutral': 11.5, 'angry': 61.5}",61.5,0.0,0.0,7.7,11.5,19.2,0.0
8XQ1onjXJK0_seg007,2.0,0.00441,2e-05,0.01958,4e-05,26.0,angry,"{'angry': 42.3, 'sad': 3.8, 'fear': 11.5, 'neutral': 42.3}",42.3,0.0,11.5,0.0,42.3,3.8,0.0
8XQ1onjXJK0_seg008,2.0,0.00688,4e-05,0.01556,5e-05,27.0,angry,"{'angry': 40.7, 'happy': 7.4, 'neutral': 11.1, 'fear': 14.8, 'sad': 7.4, 'surprise': 18.5}",40.7,0.0,14.8,7.4,11.1,7.4,18.5
8XQ1onjXJK0_seg009,1.0,0.00485,1e-05,0.0124,1e-05,27.0,angry,"{'fear': 11.1, 'angry': 48.1, 'neutral': 7.4, 'happy': 18.5, 'sad': 14.8}",48.1,0.0,11.1,18.5,7.4,14.8,0.0
8XQ1onjXJK0_seg010,2.0,0.0043,1e-05,0.01142,0.0,25.0,angry,"{'sad': 16.0, 'angry': 72.0, 'fear': 12.0}",72.0,0.0,12.0,0.0,0.0,16.0,0.0
8XQ1onjXJK0_seg011,2.0,0.0054,2e-05,0.01356,1e-05,25.0,angry,"{'angry': 80.0, 'sad': 8.0, 'neutral': 12.0}",80.0,0.0,0.0,0.0,12.0,8.0,0.0
8XQ1onjXJK0_seg012,1.0,0.00509,2e-05,0.01538,2e-05,25.0,angry,"{'angry': 80.0, 'fear': 8.0, 'sad': 4.0, 'neutral': 4.0, 'disgust': 4.0}",80.0,4.0,8.0,0.0,4.0,4.0,0.0
8XQ1onjXJK0_seg013,3.0,0.00951,6e-05,0.0206,0.0001,25.0,angry,"{'angry': 64.0, 'sad': 12.0, 'neutral': 16.0, 'fear': 8.0}",64.0,0.0,8.0,0.0,16.0,12.0,0.0
8XQ1onjXJK0_seg014,2.0,0.00698,1e-05,0.03951,0.00011,25.0,angry,"{'neutral': 12.0, 'angry': 40.0, 'disgust': 4.0, 'sad': 28.0, 'fear': 16.0}",40.0,4.0,16.0,0.0,12.0,28.0,0.0
8XQ1onjXJK0_seg015,1.0,0.00874,7e-05,0.03436,2e-05,26.0,sad,"{'sad': 38.5, 'angry': 26.9, 'neutral': 3.8, 'disgust': 3.8, 'happy': 23.1, 'fear': 3.8}",26.9,3.8,3.8,23.1,3.8,38.5,0.0
8XQ1onjXJK0_seg016,2.0,0.01222,0.00014,0.02625,0.0001,25.0,angry,"{'angry': 72.0, 'fear': 8.0, 'sad': 16.0, 'happy': 4.0}",72.0,0.0,8.0,4.0,0.0,16.0,0.0
8XQ1onjXJK0_seg017,2.0,0.01158,0.0001,0.02418,0.0001,25.0,angry,"{'angry': 64.0, 'sad': 12.0, 'fear': 8.0, 'neutral': 16.0}",64.0,0.0,8.0,0.0,16.0,12.0,0.0
8XQ1onjXJK0_seg018,3.0,0.0125,0.0001,0.02812,2e-05,26.0,angry,"{'angry': 73.1, 'neutral': 3.8, 'disgust': 3.8, 'sad': 7.7, 'fear': 11.5}",73.1,3.8,11.5,0.0,3.8,7.7,0.0
8XQ1onjXJK0_seg019,3.0,0.00708,3e-05,0.0158,6e-05,25.0,angry,"{'angry': 68.0, 'sad': 12.0, 'disgust': 12.0, 'neutral': 4.0, 'fear': 4.0}",68.0,12.0,4.0,0.0,4.0,12.0,0.0
8XQ1onjXJK0_seg020,2.0,0.00825,4e-05,0.0232,2e-05,28.0,angry,"{'angry': 50.0, 'happy': 7.1, 'fear': 3.6, 'sad': 14.3, 'neutral': 25.0}",50.0,0.0,3.6,7.1,25.0,14.3,0.0
8XQ1onjXJK0_seg021,2.0,0.00639,3e-05,0.01453,4e-05,25.0,angry,"{'angry': 64.0, 'neutral': 8.0, 'fear': 8.0, 'disgust': 8.0, 'sad': 4.0, 'happy': 8.0}",64.0,8.0,8.0,8.0,8.0,4.0,0.0
8XQ1onjXJK0_seg022,3.0,0.00654,4e-05,0.01812,4e-05,25.0,angry,"{'neutral': 8.0, 'angry': 64.0, 'sad': 28.0}",64.0,0.0,0.0,0.0,8.0,28.0,0.0
8XQ1onjXJK0_seg023,2.0,0.0045,1e-05,0.01186,0.0,25.0,angry,"{'angry': 56.0, 'happy': 8.0, 'fear': 16.0, 'neutral': 4.0, 'disgust': 4.0, 'sad': 12.0}",56.0,4.0,16.0,8.0,4.0,12.0,0.0
8XQ1onjXJK0_seg024,3.0,0.01126,0.00012,0.02595,5e-05,26.0,angry,"{'sad': 30.8, 'happy': 7.7, 'surprise': 3.8, 'angry': 50.0, 'neutral': 3.8, 'disgust': 3.8}",50.0,3.8,0.0,7.7,3.8,30.8,3.8
8XQ1onjXJK0_seg025,3.0,0.01053,7e-05,0.02147,7e-05,25.0,angry,"{'angry': 80.0, 'fear': 4.0, 'sad': 12.0, 'neutral': 4.0}",80.0,0.0,4.0,0.0,4.0,12.0,0.0
8XQ1onjXJK0_seg026,4.0,0.01525,9e-05,0.02643,3e-05,25.0,angry,"{'sad': 12.0, 'disgust': 4.0, 'angry': 60.0, 'neutral': 4.0, 'happy': 20.0}",60.0,4.0,0.0,20.0,4.0,12.0,0.0
8XQ1onjXJK0_seg027,4.0,0.0089,2e-05,0.02602,2e-05,27.0,sad,"{'angry': 22.2, 'sad': 66.7, 'happy': 11.1}",22.2,0.0,0.0,11.1,0.0,66.7,0.0
8XQ1onjXJK0_seg028,4.0,0.01854,0.00025,0.03818,0.00021,26.0,angry,"{'neutral': 7.7, 'fear': 7.7, 'angry': 69.2, 'sad': 11.5, 'happy': 3.8}",69.2,0.0,7.7,3.8,7.7,11.5,0.0
8XQ1onjXJK0_seg029,3.0,0.01008,0.00012,0.02455,0.00022,26.0,angry,"{'happy': 3.8, 'angry': 73.1, 'sad': 7.7, 'neutral': 11.5, 'fear': 3.8}",73.1,0.0,3.8,3.8,11.5,7.7,0.0
8XQ1onjXJK0_seg030,2.0,0.012,0.0001,0.02645,4e-05,26.0,angry,"{'neutral': 7.7, 'angry': 76.9, 'fear': 11.5, 'happy': 3.8}",76.9,0.0,11.5,3.8,7.7,0.0,0.0
8XQ1onjXJK0_seg031,3.0,0.00804,0.00014,0.01772,0.00012,28.0,sad,"{'angry': 32.1, 'sad': 50.0, 'happy': 14.3, 'fear': 3.6}",32.1,0.0,3.6,14.3,0.0,50.0,0.0
8XQ1onjXJK0_seg032,3.0,0.00596,5e-05,0.02371,0.00011,25.0,angry,"{'neutral': 8.0, 'angry': 56.0, 'disgust': 4.0, 'fear': 8.0, 'sad': 12.0, 'happy': 12.0}",56.0,4.0,8.0,12.0,8.0,12.0,0.0
BFZtNN6eNvQ_seg001,4.0,0.0124,9e-05,0.02951,0.00011,32.0,fear,"{'angry': 6.2, 'happy': 15.6, 'neutral': 21.9, 'fear': 25.0, 'sad': 9.4, 'surprise': 21.9}",6.2,0.0,25.0,15.6,21.9,9.4,21.9
BFZtNN6eNvQ_seg002,3.0,0.01508,0.00014,0.03154,8e-05,34.0,neutral,"{'fear': 29.4, 'neutral': 35.3, 'sad': 20.6, 'angry': 8.8, 'happy': 5.9}",8.8,0.0,29.4,5.9,35.3,20.6,0.0
BFZtNN6eNvQ_seg003,3.0,0.01183,0.00012,0.03235,4e-05,36.0,neutral,"{'neutral': 47.2, 'angry': 11.1, 'fear': 11.1, 'sad': 13.9, 'happy': 11.1, 'surprise': 2.8, 'disgust': 2.8}",11.1,2.8,11.1,11.1,47.2,13.9,2.8
BFZtNN6eNvQ_seg004,2.0,0.01232,0.00012,0.03557,6e-05,36.0,neutral,"{'sad': 16.7, 'fear': 16.7, 'neutral': 33.3, 'happy': 27.8, 'angry': 2.8, 'surprise': 2.8}",2.8,0.0,16.7,27.8,33.3,16.7,2.8
BFZtNN6eNvQ_seg005,3.0,0.0172,0.00025,0.03895,7e-05,31.0,happy,"{'sad': 32.3, 'angry': 19.4, 'happy': 35.5, 'fear': 3.2, 'neutral': 9.7}",19.4,0.0,3.2,35.5,9.7,32.3,0.0
BFZtNN6eNvQ_seg006,3.0,0.01592,0.00017,0.03771,4e-05,31.0,neutral,"{'neutral': 29.0, 'surprise': 6.5, 'fear': 29.0, 'happy': 19.4, 'sad': 12.9, 'angry': 3.2}",3.2,0.0,29.0,19.4,29.0,12.9,6.5
BFZtNN6eNvQ_seg007,3.0,0.01355,0.00014,0.03759,6e-05,35.0,neutral,"{'happy': 22.9, 'sad': 17.1, 'neutral': 31.4, 'angry': 8.6, 'fear': 20.0}",8.6,0.0,20.0,22.9,31.4,17.1,0.0
BFZtNN6eNvQ_seg008,2.0,0.01321,0.00014,0.03547,3e-05,34.0,neutral,"{'sad': 32.4, 'happy': 2.9, 'angry': 11.8, 'fear': 17.6, 'neutral': 35.3}",11.8,0.0,17.6,2.9,35.3,32.4,0.0
BFZtNN6eNvQ_seg009,3.0,0.01473,0.00014,0.03884,0.0001,35.0,happy,"{'sad': 25.7, 'neutral': 17.1, 'happy': 31.4, 'fear': 20.0, 'angry': 2.9, 'surprise': 2.9}",2.9,0.0,20.0,31.4,17.1,25.7,2.9
BFZtNN6eNvQ_seg010,4.0,0.01349,0.00013,0.03573,8e-05,32.0,neutral,"{'angry': 9.4, 'happy': 21.9, 'fear': 28.1, 'neutral': 31.2, 'sad': 9.4}",9.4,0.0,28.1,21.9,31.2,9.4,0.0
BFZtNN6eNvQ_seg011,2.0,0.01293,0.00012,0.03689,7e-05,35.0,fear,"{'happy': 22.9, 'neutral': 22.9, 'sad': 17.1, 'fear': 34.3, 'angry': 2.9}",2.9,0.0,34.3,22.9,22.9,17.1,0.0
BFZtNN6eNvQ_seg012,3.0,0.01351,0.00013,0.03388,4e-05,37.0,fear,"{'happy': 10.8, 'sad': 16.2, 'fear': 37.8, 'neutral': 32.4, 'angry': 2.7}",2.7,0.0,37.8,10.8,32.4,16.2,0.0
BFZtNN6eNvQ_seg013,2.0,0.01213,0.00012,0.03354,5e-05,34.0,neutral,"{'angry': 5.9, 'happy': 26.5, 'neutral': 38.2, 'fear': 29.4}",5.9,0.0,29.4,26.5,38.2,0.0,0.0
BFZtNN6eNvQ_seg014,3.0,0.01152,0.0001,0.03148,9e-05,38.0,fear,"{'neutral': 13.2, 'fear': 44.7, 'sad': 2.6, 'happy': 36.8, 'angry': 2.6}",2.6,0.0,44.7,36.8,13.2,2.6,0.0
BFZtNN6eNvQ_seg015,3.0,0.01397,0.00013,0.03141,3e-05,38.0,happy,"{'happy': 44.7, 'sad': 5.3, 'fear': 31.6, 'neutral': 13.2, 'angry': 5.3}",5.3,0.0,31.6,44.7,13.2,5.3,0.0
BFZtNN6eNvQ_seg016,3.0,0.01234,0.0001,0.03242,3e-05,35.0,fear,"{'neutral': 11.4, 'fear': 71.4, 'sad': 5.7, 'happy': 11.4}",0.0,0.0,71.4,11.4,11.4,5.7,0.0
Cd0JH1AreDw_seg000,4.0,0.00485,2e-05,0.02246,5e-05,32.0,neutral,"{'neutral': 34.4, 'sad': 18.8, 'fear': 28.1, 'angry': 12.5, 'happy': 6.2}",12.5,0.0,28.1,6.2,34.4,18.8,0.0
Cd0JH1AreDw_seg001,4.0,0.00487,2e-05,0.02783,8e-05,32.0,neutral,"{'angry': 18.8, 'fear': 21.9, 'neutral': 34.4, 'sad': 15.6, 'surprise': 3.1, 'happy': 6.2}",18.8,0.0,21.9,6.2,34.4,15.6,3.1
Cd0JH1AreDw_seg002,3.0,0.00633,2e-05,0.03745,2e-05,32.0,neutral,"{'sad': 18.8, 'fear': 21.9, 'neutral': 40.6, 'angry': 15.6, 'surprise': 3.1}",15.6,0.0,21.9,0.0,40.6,18.8,3.1
Cd0JH1AreDw_seg003,4.0,0.00567,3e-05,0.03713,3e-05,31.0,neutral,"{'angry': 19.4, 'sad': 16.1, 'fear': 12.9, 'neutral': 45.2, 'happy': 6.5}",19.4,0.0,12.9,6.5,45.2,16.1,0.0
Cd0JH1AreDw_seg004,4.0,0.00603,2e-05,0.03158,0.0001,34.0,neutral,"{'fear': 20.6, 'neutral': 35.3, 'happy': 8.8, 'angry': 20.6, 'sad': 11.8, 'surprise': 2.9}",20.6,0.0,20.6,8.8,35.3,11.8,2.9
Cd0JH1AreDw_seg005,3.0,0.00658,3e-05,0.04021,3e-05,32.0,neutral,"{'neutral': 40.6, 'sad': 25.0, 'fear': 9.4, 'angry': 21.9, 'surprise': 3.1}",21.9,0.0,9.4,0.0,40.6,25.0,3.1
Cd0JH1AreDw_seg006,3.0,0.00588,2e-05,0.03881,2e-05,31.0,sad,"{'neutral': 35.5, 'angry': 19.4, 'sad': 41.9, 'fear': 3.2}",19.4,0.0,3.2,0.0,35.5,41.9,0.0
Cd0JH1AreDw_seg007,3.0,0.00588,3e-05,0.03959,3e-05,32.0,neutral,"{'neutral': 43.8, 'angry': 9.4, 'sad': 31.2, 'fear': 9.4, 'happy': 6.2}",9.4,0.0,9.4,6.2,43.8,31.2,0.0
Cd0JH1AreDw_seg008,4.0,0.00684,4e-05,0.03897,4e-05,32.0,sad,"{'neutral': 18.8, 'sad': 31.2, 'happy': 9.4, 'angry': 15.6, 'fear': 25.0}",15.6,0.0,25.0,9.4,18.8,31.2,0.0
Cd0JH1AreDw_seg009,4.0,0.00554,3e-05,0.02725,0.0001,32.0,neutral,"{'fear': 15.6, 'happy': 6.2, 'neutral': 31.2, 'angry': 18.8, 'sad': 28.1}",18.8,0.0,15.6,6.2,31.2,28.1,0.0
Cd0JH1AreDw_seg010,3.0,0.00634,3e-05,0.03789,5e-05,33.0,sad,"{'neutral': 33.3, 'sad': 42.4, 'fear': 6.1, 'angry': 9.1, 'surprise': 3.0, 'happy': 6.1}",9.1,0.0,6.1,6.1,33.3,42.4,3.0
Cd0JH1AreDw_seg011,2.0,0.00619,3e-05,0.03905,2e-05,31.0,sad,"{'sad': 35.5, 'neutral': 25.8, 'happy': 6.5, 'fear': 16.1, 'angry': 12.9, 'surprise': 3.2}",12.9,0.0,16.1,6.5,25.8,35.5,3.2
Cd0JH1AreDw_seg012,3.0,0.00732,3e-05,0.03721,1e-05,31.0,neutral,"{'happy': 16.1, 'neutral': 29.0, 'sad': 9.7, 'fear': 19.4, 'surprise': 16.1, 'angry': 6.5, 'disgust': 3.2}",6.5,3.2,19.4,16.1,29.0,9.7,16.1
Cd0JH1AreDw_seg013,3.0,0.00652,3e-05,0.03968,2e-05,31.0,sad,"{'sad': 32.3, 'angry': 12.9, 'fear': 16.1, 'neutral': 32.3, 'happy': 6.5}",12.9,0.0,16.1,6.5,32.3,32.3,0.0
Cd0JH1AreDw_seg014,3.0,0.00586,3e-05,0.03126,0.00012,32.0,neutral,"{'sad': 34.4, 'angry': 9.4, 'neutral': 46.9, 'fear': 9.4}",9.4,0.0,9.4,0.0,46.9,34.4,0.0
Cd0JH1AreDw_seg015,4.0,0.00577,3e-05,0.03821,8e-05,32.0,sad,"{'fear': 15.6, 'angry': 12.5, 'neutral': 25.0, 'sad': 31.2, 'happy': 12.5, 'surprise': 3.1}",12.5,0.0,15.6,12.5,25.0,31.2,3.1
Cd0JH1AreDw_seg016,3.0,0.00478,3e-05,0.0252,0.00011,33.0,sad,"{'sad': 42.4, 'fear': 12.1, 'angry': 18.2, 'neutral': 27.3}",18.2,0.0,12.1,0.0,27.3,42.4,0.0
Cd0JH1AreDw_seg017,2.0,0.00687,3e-05,0.03932,2e-05,32.0,neutral,"{'neutral': 28.1, 'happy': 12.5, 'angry': 21.9, 'fear': 18.8, 'sad': 18.8}",21.9,0.0,18.8,12.5,28.1,18.8,0.0
Cd0JH1AreDw_seg018,3.0,0.00666,3e-05,0.04007,2e-05,32.0,neutral,"{'sad': 18.8, 'neutral': 46.9, 'angry': 3.1, 'happy': 18.8, 'surprise': 6.2, 'fear': 6.2}",3.1,0.0,6.2,18.8,46.9,18.8,6.2
Cd0JH1AreDw_seg019,3.0,0.00759,3e-05,0.03666,2e-05,31.0,sad,"{'sad': 41.9, 'neutral': 19.4, 'angry': 16.1, 'fear': 16.1, 'happy': 6.5}",16.1,0.0,16.1,6.5,19.4,41.9,0.0
Cd0JH1AreDw_seg020,3.0,0.00738,4e-05,0.03798,2e-05,31.0,neutral,"{'neutral': 38.7, 'fear': 19.4, 'happy': 9.7, 'sad': 29.0, 'angry': 3.2}",3.2,0.0,19.4,9.7,38.7,29.0,0.0
Cd0JH1AreDw_seg021,2.0,0.00444,2e-05,0.02708,0.00015,33.0,sad,"{'fear': 24.2, 'sad': 51.5, 'happy': 12.1, 'neutral': 9.1, 'angry': 3.0}",3.0,0.0,24.2,12.1,9.1,51.5,0.0
Cd0JH1AreDw_seg022,2.0,0.00878,4e-05,0.04818,2e-05,32.0,neutral,"{'sad': 31.2, 'fear': 9.4, 'neutral': 34.4, 'happy': 18.8, 'angry': 3.1, 'surprise': 3.1}",3.1,0.0,9.4,18.8,34.4,31.2,3.1
Cd0JH1AreDw_seg023,2.0,0.01011,6e-05,0.04788,3e-05,33.0,neutral,"{'neutral': 36.4, 'fear': 21.2, 'surprise': 3.0, 'sad': 21.2, 'angry': 15.2, 'happy': 3.0}",15.2,0.0,21.2,3.0,36.4,21.2,3.0
Cd0JH1AreDw_seg024,3.0,0.01074,7e-05,0.0459,3e-05,32.0,neutral,"{'surprise': 9.4, 'sad': 15.6, 'neutral': 43.8, 'fear': 18.8, 'happy': 9.4, 'angry': 3.1}",3.1,0.0,18.8,9.4,43.8,15.6,9.4
Cd0JH1AreDw_seg025,3.0,0.00861,4e-05,0.0467,2e-05,33.0,sad,"{'sad': 51.5, 'neutral': 27.3, 'angry': 9.1, 'surprise': 9.1, 'fear': 3.0}",9.1,0.0,3.0,0.0,27.3,51.5,9.1
Cd0JH1AreDw_seg026,4.0,0.0101,7e-05,0.04556,1e-05,32.0,sad,"{'sad': 46.9, 'fear': 12.5, 'neutral': 34.4, 'angry': 3.1, 'happy': 3.1}",3.1,0.0,12.5,3.1,34.4,46.9,0.0
Cd0JH1AreDw_seg027,3.0,0.00924,4e-05,0.04497,2e-05,31.0,neutral,"{'fear': 22.6, 'sad': 19.4, 'angry': 12.9, 'happy': 3.2, 'neutral': 41.9}",12.9,0.0,22.6,3.2,41.9,19.4,0.0
